Lambda (nm)	qext	qsca	qabs
0.715	2.3967244532295755	2.0806996935432664	0.31602475968630905
0.72	2.3593040556821	2.0414537041971275	0.31785035148497265
0.725	2.322083727989293	2.0022756375695896	0.3198080904197034
0.73	2.285514505944571	1.9632242923567529	0.3222902135878183
0.735	2.2491516496026076	1.9244559576935882	0.32469569190901937
0.74	2.213282839061175	1.8857839218745183	0.3274989171866569
0.745	2.1777732419511815	1.84751392949133	0.3302593124598514
0.75	2.142873156081408	1.8100878978045924	0.3327852582768156
0.755	2.109126127027332	1.7728024786888221	0.3363236483385099
0.76	2.075622882599693	1.735760208660902	0.3398626739387909
0.765	2.0432934277924573	1.6997691556428203	0.343524272149637
0.77	2.01098832126294	1.6642319209432122	0.3467564003197279
0.775	1.9800762338909486	1.6294128976583817	0.35066333623256685
0.78	1.94989953322247	1.5955059521742345	0.3543935810482355
0.785	1.9210957460695146	1.562133599147918	0.35896214692159667
0.79	1.892701971782056	1.5296361993410639	0.36306577244099203
0.795	1.8653405196530046	1.4980471753166982	0.36729334433630645
0.8	1.8378425815778676	1.4677349892433018	0.3701075923345658
0.805	1.8121250419628419	1.437989619027828	0.3741354229350138
0.81	1.7861053451145634	1.4097083780948747	0.3763969670196887
0.815	1.7604129289845447	1.3821610931360448	0.37825183584849986
0.82	1.7349313009982865	1.3556623191970936	0.37926898180119295
0.825	1.7097732890886557	1.329987633708895	0.3797856553797607
0.83	1.68341079638992	1.3053291018258006	0.37808169456411944
0.835	1.656620013790854	1.2815124091036658	0.3751076046871882
0.84	1.628700298056335	1.2582368254289173	0.37046347262741763
0.845	1.6000569345793731	1.2353384279873136	0.3647185065920595
0.85	1.5704694966493196	1.213102280079326	0.3573672165699935
0.855	1.5400907444263445	1.1912123822549432	0.34887836217140133
0.86	1.5083060509782167	1.169101097203534	0.3392049537746826
0.865	1.4763623442224678	1.1475958148632237	0.3287665293592441
0.87	1.4436475339800228	1.1258187645109505	0.31782876946907224
0.875	1.4106179340444216	1.1041682289086518	0.30644970513576975
0.88	1.3770708336194255	1.0827143383603486	0.2943564952590769
0.885	1.3439950794191182	1.0609969083194528	0.2829981710996654
0.89	1.3108423463309538	1.0394239174057305	0.2714184289252233
0.895	1.2774446368893266	1.018134885296755	0.2593097515925715
0.9	1.2450583006298293	0.9967783433621575	0.2482799572676717
0.905	1.213188608510963	0.9755676621439806	0.2376209463669825
0.91	1.1815425737965033	0.9546221213316617	0.2269204524648416
0.915	1.1507920134084657	0.93382542538825	0.21696658802021573
0.92	1.121658196846349	0.9133160659926458	0.20834213085370323
0.925	1.0924743456720805	0.893163613638472	0.1993107320336085
0.93	1.064349206588827	0.8733040687211013	0.1910451378677256
0.935	1.0373653560296419	0.8539117260870035	0.18345362994263836
0.94	1.0107590204888286	0.8348509234823147	0.17590809700651389
0.945	0.9846128024243685	0.8161364974503967	0.1684763049739718
0.95	0.9599190558753097	0.7978139155445971	0.16210514033071255
0.955	0.936044946589837	0.779896188323137	0.15614875826669994
0.96	0.9126749810501272	0.7622944754527292	0.15038050559739802
0.965	0.8899206609387272	0.7451776755788279	0.14474298535989938
0.97	0.8679560962025522	0.7284764372090705	0.1394796589934817
0.975	0.8468264574822286	0.7121421974068317	0.1346842600753969
0.98	0.8262420399965773	0.6962923386318032	0.12994970136477413
0.985	0.8064504082682018	0.6807395425992708	0.12571086566893097
0.99	0.787150134949953	0.665534157274774	0.12161597767517895
0.995	0.7686185266906977	0.6507639255496602	0.11785460114103752
1.0	0.7506549497967986	0.6364660218443497	0.11418892795244884
1.005	0.7330836570210638	0.622399524311037	0.11068413271002686
1.01	0.716109046788207	0.6087342499906715	0.10737479679753548
1.015	0.6997975100607867	0.5954064127361068	0.10439109732467988
1.02	0.6840476578690302	0.5823490037502719	0.10169865411875834
1.025	0.6687396650290303	0.5696222754407504	0.09911738958827987
1.03	0.6536407547849343	0.5573105265404503	0.096330228244484
1.035	0.6391498852951398	0.5453879071132042	0.09376197818193566
1.04	0.6251346138072572	0.5336685467505569	0.09146606705670035
1.045	0.6116563058697649	0.522232813623194	0.08942349224657098
1.05	0.5985388610540099	0.5112548712448775	0.08728398980913243
1.055	0.5853246755962066	0.5003457594469772	0.08497891614922937
1.06	0.5730025023719054	0.48980270987546004	0.08319979249644538
1.065	0.5606943722079061	0.4794897029407599	0.0812046692671462
1.07	0.5491414457250396	0.46948419281022463	0.07965725291481501
1.075	0.5379195276706054	0.4597247397302916	0.07819478794031376
1.08	0.526755093836192	0.4502179226165643	0.07653717121962772
1.085	0.5159237631217224	0.4409899438001948	0.0749338193215276
1.09	0.5055001133493522	0.43192956571186925	0.07357054763748294
1.095	0.4952468830593955	0.4231068175855076	0.0721400654738879
1.1	0.48528656914324164	0.41450406424614317	0.07078250489709847
1.105	0.47565092627313454	0.40612847480485653	0.06952245146827801
1.11	0.4663176276457642	0.3980229303800463	0.06829469726571785
1.115	0.4571353075778079	0.3900512815311127	0.06708402604669522
1.12	0.4483205759122125	0.3822767508148292	0.06604382509738332
1.125	0.43960844678220146	0.3746761333419855	0.06493231344021594
1.13	0.4312581045957036	0.3672993945156289	0.0639587100800747
1.135	0.423084056728467	0.3600734044654301	0.06301065226303687
1.14	0.41499503919535463	0.3530543412993786	0.061940697895976005
1.145	0.4072727029057063	0.34619158608038314	0.061081116825323134
1.15	0.39968120164982956	0.33947215563304384	0.06020904601678573
1.155	0.3921484780790331	0.33293321435070156	0.059215263728331524
1.16	0.3852282551095399	0.3265580066613322	0.058670248448207674
1.165	0.3780567113683223	0.32031862338700445	0.057738087981317854
1.17	0.3711906391244956	0.31424423884770725	0.05694640027678838
1.175	0.36470237180882215	0.3083091969214897	0.05639317488733242
1.18	0.3582484098292882	0.30251029598910617	0.05573811384018201
1.185	0.35169408401038266	0.2968247023544624	0.05486938165592026
1.19	0.34552707398933274	0.29128472709554265	0.054242346893790094
1.195	0.3393904569890888	0.2858805970997458	0.05350985988934304
1.2	0.3336138391678591	0.2806141442642765	0.052999694903582584
1.205	0.3277882295992904	0.2754561770940726	0.052332052505217774
1.21	0.3221382361769011	0.2704238945769116	0.0517143415999895
1.215	0.31663273372291834	0.26549987695450794	0.051132856768410395
1.22	0.3112981921831121	0.260685400128596	0.05061279205451613
1.225	0.30618720502759644	0.25598029181557846	0.05020691321201798
1.23	0.30111064223868206	0.25138280794679785	0.04972783429188421
1.235	0.2959874315172567	0.24687789148566464	0.04910954003159207
1.24	0.29116281337520733	0.24249340738017497	0.04866940599503236
1.245	0.28636456612367583	0.23818939970380934	0.048175166419866494
1.25	0.2817498943311063	0.23399906282519756	0.04775083150590875
1.255	0.27711273768510564	0.22989310604256297	0.04721963164254267
1.26	0.27274587747893686	0.22587554105141927	0.04687033642751759
1.265	0.2683296178115519	0.2219596415616456	0.0463699762499063
1.27	0.26410715775971405	0.2181146934119849	0.04599246434772916
1.275	0.2598883034717082	0.21432972505270642	0.045558578419001794
1.28	0.2558683877710181	0.2106566883151233	0.045211699455894816
1.285	0.25189983862105336	0.20706915202437584	0.04483068659667752
1.29	0.24800577096658075	0.20353551745124884	0.0444702535153319
1.295	0.24416084777824631	0.20008651182518047	0.04407433595306584
1.3	0.24047620773043918	0.1967080175020287	0.04376819022841047
1.305	0.23680043086870295	0.19339775395587155	0.043402676912831395
